,簇1,簇2,簇3,簇4
0,7107,11845,26059,49749
1,8088,13480,29656,56616
2,9532,11915,28596,45277
3,9808,12260,29424,46588
4,11680,11680,21024,49056
5,10840,10840,19512,45528
6,4734,14202,26037,49707
7,5012,15036,27566,52626
8,4680,16380,25740,46800
9,4758,16653,26169,47580
