data,data_type,TAS,COS
mnist,"[[0, 1, 2, 3, 4], [1, 2, 3], [5, 6, 7, 8, 9], [6, 7, 8], [0, 4, 5, 9]]","[1.4817581781234601e-05, 3.57820286858157e-05, 9.345039524477627e-05, 8.275331133789088e-05, 0.0002805052585151957, 0.00025565458161247445, 0.00020979773785245737, 0.0002942086237908148, 0.0004186828122230146, 0.0004286157672174218, 0.000580005282400653, 0.000871057283546528, 0.0004911165169628751, 0.002230708995399122, 0.0013891927489748657, 0.006005738838100738, 0.007158134191700971, 0.03633910613405211, 0.1059312976752238, 0.12177142556155596]","[0.0031126729098170935, 0.003184221443808255, 0.0037706867856015513, 0.00416463730069927, 0.0045093210044551135, 0.0057270668892007714, 0.007412527481171494, 0.009226676031581449, 0.011706556637332555, 0.01411276498297398, 0.017663049627345218, 0.02655928211556413, 0.05062559800115318, 0.13257885461251429, 0.10504406705017144, 0.4463203297979669, 0.41998490401172195, 1.4764859141836562, 1.6484123093671927, 1.6486837088887352]"
mnist,"[[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]]","[5.4575161920422666e-05, 3.013742628454885e-06, 2.7985341609637615e-06, 7.2305844802667e-06, 8.089074684414221e-06, 6.61644413735285e-06, 7.400253989708894e-06, 0.00020206253865195922, 1.3225080155776503e-05, 2.978273880072102e-06, 0.00022265463019910392, 0.0002444173267645011, 0.0001530105777437507, 0.00010218212070944865, 0.0005732221284071581, 0.00016770049113090657, 0.00036895174907947137, 0.0017593959952636462, 0.005522144082653946, 0.0075207896665248075]","[0.05435532773267471, 0.05567881439974098, 0.05524410420422987, 0.05737642867974169, 0.05778349932803084, 0.06097468626519431, 0.06236504855292768, 0.06796562837898434, 0.06979099638704733, 0.07424006704440045, 0.08299710947653416, 0.09092644799393779, 0.1427266103075172, 0.12655324509161525, 0.24176230941039478, 1.424347049092808, 0.5757998443792314, 1.1255115927170232, 1.7129363401084827, 1.7093031740528384]"
mnist,"[[0, 1, 2, 3], [2, 3, 4, 5], [4, 5, 6, 7], [6, 7, 8, 9], [0, 1, 8, 9]]","[7.1571054653940536e-06, 7.315963039711271e-06, 1.832942226398515e-05, 2.1748421674239182e-05, 1.324937433222484e-05, 1.1391574501917745e-05, 5.515472560380097e-05, 4.823321340108322e-07, 4.8756606656708e-05, 3.7326107566681976e-05, 3.9921934267383996e-05, 0.0002243573634221896, 0.0005218672751201581, 0.0005094849008104863, 0.0025343766867599316, 0.004494860890525976, 0.01335125982980745, 0.016996990501240594, 0.028660830094321632, 0.07127695009449708]","[0.004674480450851282, 0.004973492093271914, 0.004961742980274075, 0.004602249167026007, 0.00539642781149674, 0.005963242876004027, 0.006685217093895246, 0.006546219402983722, 0.007704961863584492, 0.009419816184681573, 0.011924117733685735, 0.015697160502509244, 0.02833962842366, 0.05551704225181653, 0.2176243967348307, 0.4272489073639367, 1.2220171203732786, 0.9942971287640685, 1.4016769807795075, 1.583309622602727]"
cifar10,"[[0, 1, 2, 3], [2, 3, 4, 5], [4, 5, 6, 7], [6, 7, 8, 9], [0, 1, 8, 9]]","[1.0834936183701238e-05, 7.418874526599062e-06, 1.6542589524881635e-06, 1.5098082514208855e-05, 1.5615283013303838e-06, 1.3947991361229484e-05, 4.730168585265204e-06, 1.8620948391223635e-05, 3.0530488393076816e-05, 1.8088801979843083e-05, 6.4586876235006585e-06, 4.263507696999902e-06, 0.0002261526600473296, 0.00012873956885328663, 0.0002247155443635407, 0.0011289886874346067, 0.034892240312662026, 0.007408610973767549, 0.000730517925616514, 0.16705812417068644]","[0.003008554016016629, 0.003008046372610096, 0.00313181357820147, 0.003333734287842116, 0.003373274636771284, 0.0036889940428530554, 0.003921501076531553, 0.004034429146635543, 0.0038931603616608745, 0.004180048679536252, 0.005933618321047551, 0.009979454317231906, 0.019897880845009763, 0.08782622564841291, 0.062982253843893, 0.06195576622055188, 0.2761269812823184, 0.2320251525741187, 0.24950914928764323, 0.4191702039833114]"
cifar10,"[[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]]","[1.4482479878563659e-05, 3.4925710344468897e-05, 0.00013333602608112116, 0.00015961288745158786, 0.00013019878174480581, 0.00016402040747254265, 0.00018576736950770556, 8.480048730585832e-05, 1.5507688235327777e-05, 1.888133722471874e-05, 0.0001341346664058829, 3.792863380081002e-05, 0.0002761612603271457, 0.0009464005811880005, 0.0002959325291931325, 0.00035328031710335495, 0.00030734786620745247, 0.013269219494717821, 0.01637635231189294, 0.005767871063623309]","[0.02120110357715288, 0.021748351365974083, 0.022764671318004193, 0.023825875711591338, 0.024853114733027315, 0.026080151928358886, 0.029157188355712016, 0.038919062967740725, 0.04269825317224152, 0.05394122058439599, 0.077763463218808, 0.10246769593602989, 0.14949884046347717, 0.2490748465282916, 0.4068803366189079, 0.12678654943063972, 0.3443019056516191, 0.7055491476999602, 0.7021170467499076, 0.7319502969269336]"
cifar10,"[[0, 1, 2, 3, 4], [1, 2, 3], [5, 6, 7, 8, 9], [6, 7, 8], [0, 4, 5, 9]]","[5.791516230813087e-06, 1.4378220122845953e-05, 4.831246524394928e-06, 1.7816899447908874e-05, 1.246693635859053e-05, 1.9881526730491927e-05, 2.6000057736674798e-05, 2.0780076625204202e-05, 9.845423449250656e-05, 5.6804422604472826e-05, 2.722313545477917e-06, 2.618074223559308e-05, 1.1303239921711672e-05, 0.0003058709388863434, 0.0006106671374735972, 0.00010448848086308526, 0.0008491707161568662, 0.004608846918349507, 0.029993175446637155, 0.009511878129656481]","[0.002546158338936233, 0.002954957659743074, 0.0031350720707342683, 0.003406516716529806, 0.003999393100901472, 0.004161062261180404, 0.004724180552110768, 0.005975337959690075, 0.0072212099484705305, 0.009850756244845549, 0.013980823630391992, 0.020075513009455537, 0.04059389381071132, 0.03491317806823602, 0.06961583521234982, 0.08256259981099134, 0.12346259156183226, 0.30526545350815204, 0.37604616293433, 0.4007629435987514]"
